textA,textB,keywordsA,keywordsB,authorA,authorb,named_entitiesA,named_entitiesB 
'There will be no public funding for abortion in this legislation.','Just about half of rural hospitals operate in the red in Virginia. They operate at a loss.',"Abortion,Health Care",Health Care,Bart Stupak,Mary Mannix,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,Augusta Health,Centers for Medicare & Medicaid Services,Mannix,Medicaid,Medicare,Republican,Schwenk,Uncle Sam,Virginia Health Information,operating margin,say Uncle"
'There will be no public funding for abortion in this legislation.',The United States spends 'almost three times per capita what they spend in the U.K.' on health care and '50 percent more than they pay in France.',"Abortion,Health Care",Health Care,Bart Stupak,Bernie Sanders,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Bernie Sanders,New Hampshire,Organization for Economic Cooperation and Development,United Kingdom,United States Congress,https,single-payer health care"
'There will be no public funding for abortion in this legislation.',John McCain's health care plan 'won't guarantee coverage of cancer screenings or maternity care.',"Abortion,Health Care",Health Care,Bart Stupak,Planned Parenthood,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Commonwealth Fund,John McCain,Planned Parenthood,Planned Parenthood Action Fund,attack ad,health insurance,tax exemption"
'There will be no public funding for abortion in this legislation.',The Senate health care bill does not contain limits on medical malpractice lawsuits.,"Abortion,Health Care",Health Care,Bart Stupak,Mitch McConnell,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","American Medical Association,Barack Obama,Congressional Budget Office,Democratic National Committee,Howard Dean,Mitch McConnell,Republican,a word,health care premiums,medical malpractice,the trial,tort reform"
'There will be no public funding for abortion in this legislation.',"'The law says that mental health must be treated the same as physical health,' but coverage by health insurers is unequal.","Abortion,Health Care",Health Care,Bart Stupak,Elizabeth Warren,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,Elizabeth Warren,Hispanic,Jill Biden,Joe Biden,Kaiser Health News,League of United Latin American Citizens,National Alliance on Mental Illness,Paul Wellstone,Pete Domenici,essential health benefits,mental health,primary care,substance use disorder,then-U.S"
'There will be no public funding for abortion in this legislation.',"'A family of four can make up to $88,000 a year and still get a subsidy for health insurance' under the new federal health care law.","Abortion,Health Care",Health Care,Bart Stupak,Helen Glover,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Congressional Budget Office,Cornerstone Group,Facebook,HealthCare.gov,Helen Glover,Island is,Kaiser Family Foundation,Patient Protection and Affordable Care Act,PolitiFact,Twitter,U.S. Department of Health and Human Services,U.S. Treasury Department,federal poverty level,individual mandate,tax credit"
'There will be no public funding for abortion in this legislation.',The health care plan for members of Congress 'is no better than the janitor who cleans their offices.',"Abortion,Health Care",Health Care,Bart Stupak,Barack Obama,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Architect of the Capitol,Barack Obama,Capitol Hill,Federal Employees Health Benefits Program,Malecki,Michael Ornstein,Newt Gingrich,Office of Personnel Management,Portsmouth,Republican,public option"
'There will be no public funding for abortion in this legislation.',"Says the federal health care law upheld by the Supreme Court 'has improved or saved the lives of more than 4,000 Texans' otherwise prevented from obtaining health coverage due to pre-existing conditions.","Abortion,Health Care",Health Care,Bart Stupak,Becky Moeller,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","AFL-CIO,HIV/AIDS,Leticia Van de Putte,Patient Protection and Affordable Care Act,Pre-Existing Condition,Pre-Existing Condition Insurance Plan,Progressive States Network,Texas Department of Insurance,Texas plan,U.S. Department of Health and Human Services,U.S. Supreme Court,What Health,White House,pre-existing condition"
'There will be no public funding for abortion in this legislation.',"During a town hall meeting on health care, 'ABC didn't even allow ads that opposed the president's health care plan to be aired.'","Abortion,Health Care",Health Care,Bart Stupak,Lamar Smith,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","ABC,ABC News,Barack Obama,Conservatives for Patients' Rights,Fox News,Greta Van Susteren,Iraq war,Peter G. Peterson Foundation,Rep. Lamar Smith,Republican,T. Boone Pickens,TNS Media Intelligence,Tyndall Report,Washington, D.C,argues,but not,issue advocacy ads,s town,swing vote"
'There will be no public funding for abortion in this legislation.',"According to a recent poll, 'there are more young Republicans enrolled in their parents' (health insurance) plans than young Democrats.'","Abortion,Health Care",Health Care,Bart Stupak,Bill Clinton,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,Bill Clinton,Commonwealth Fund,Democrat,For what it’s worth,Republican,sampling error,t sign,young Republicans"
'There will be no public funding for abortion in this legislation.',Says a Josh Hawley lawsuit 'would take away important prescription drug coverage for seniors through Medicare and end all of the consumer protections under the ACA.',"Abortion,Health Care",Health Care,Bart Stupak,Claire McCaskill,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,Barack Obama,Claire McCaskill,George W. Bush,Josh Hawley,Medicaid,Medicare,Medicare Modernization Act,Missouri,Patient Protection and Affordable Care Act,Republican,Sen. Claire McCaskill,Springfield News-Leader,University of Michigan Law School,argues,doughnut hole,individual mandate,the power"
'There will be no public funding for abortion in this legislation.',Medicare spends '$15-billion a year on subsidies to insurance companies.',"Abortion,Health Care",Health Care,Bart Stupak,Barack Obama,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","American Enterprise Institute,America’s Health Insurance Plans,Antos,Barack Obama,Bob Schieffer,CBS News,Commonwealth Fund,Congressional Budget Office,George Washington University,Medicare,Medicare Advantage,Medicare Payment Advisory Commission,Peter R. Orszag,argues,co-payment,that that"
'There will be no public funding for abortion in this legislation.',Almost every state has offered an insurance plan on its health exchange that does not cover abortion.,"Abortion,Health Care","Abortion,Health Care,Women",Bart Stupak,The Rhode Island Catholic,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Abortion,Affordable Care Act,Bishop of Providence,Democrat,Gina Raimondo,Government Accountability Office,Hawaii,HealthSource RI,Island is,Planned Parenthood,PolitiFact,Providence Journal,Republican,Rhode Island,Rhode Island Catholic,Roman Catholic,Thomas Tobin,Twitter,Vermont,abortion,incest,political action committee"
'There will be no public funding for abortion in this legislation.','Health insurance companies' costs are only 4 percent of all health care spending.',"Abortion,Health Care",Health Care,Bart Stupak,America's Health Insurance Plans,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","America's Health Insurance Plans,Centers for Medicare and Medicaid Services,Department of Health and Human Services,Medicaid,Medicare,Urban Institute,actuary,what health"
'There will be no public funding for abortion in this legislation.',"'You can't give a child an aspirin in school without permission. You can't do any kind of medication, but we can secretly take the child off and have an abortion.'","Abortion,Health Care","Abortion,Health Care",Bart Stupak,Steve Oelrich,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Aspirin,Centers for Disease Control and Prevention,Charlotte County,Citrus County Schools,Karst,National Institutes of Health,One proposal,Republican,Reye's Syndrome,Rick Scott,St. Lucie County School Board,Steve Oelrich,Tylenol,abortion,aspirin,enzyme,epinephrine,epinephrine auto-injectors,so you"
'There will be no public funding for abortion in this legislation.','Obamacare was patterned after (Mitt Romney's) plan in Massachusetts.',"Abortion,Health Care",Health Care,Bart Stupak,Tim Pawlenty,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Ames, Iowa,Barack Obama,HMO,Health insurance,In a word, Yes,Individual mandate,Massachusetts,Medicaid,Medicare,Medicare Advantage,Mitt Romney,Obamneycare,Republican,Tim Pawlenty,again tonight,but not,federal poverty level,governor of Minnesota,health care law,indoor tanning"
'There will be no public funding for abortion in this legislation.','Texas has the highest rate of uninsured in the nation. ... And there are more uninsured children in Texas than in any other state.',"Abortion,Health Care",Health Care,Bart Stupak,Kathleen Sebelius,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Affordable Care Act,Alaska,American Community Survey,Austin American-Statesman,Barack Obama,Centers for Medicare and Medicaid Services,Dallas Morning News,Employee Benefit Research Institute,Garnet Coleman,Georgia,Kaiser Family Foundation,Kathleen Sebelius,Medicaid,Montana,Nevada,Obamacare,PolitiFact,Robert Bernstein,Sandoe,Texas,U.S. Census Bureau,U.S. Health and Human Services"
'There will be no public funding for abortion in this legislation.',"'Thirty-four percent of Hispanics don't have any health care at all, don't have any health insurance.'","Abortion,Health Care",Health Care,Bart Stupak,Dennis Kucinich,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Agency for Healthcare Research and Quality,Dennis Kucinich,Henry J. Kaiser,Henry J. Kaiser Family Foundation,Kaiser Family Foundation,Medicaid,Univision,Urban Institute,non-Hispanic whites"
'There will be no public funding for abortion in this legislation.',Washing your hands and covering your mouth when you cough 'makes a huge difference' in reducing transmission of the flu.,"Abortion,Health Care",Health Care,Bart Stupak,Barack Obama,"Abortion rights,Barack Obama,Bart Stupak,Ben Nelson,Democrat,Fox News,Hyde Amendment,John Boehner,NARAL Pro Choice America,National Organization for Women,National Right to Life Committee,Planned Parenthood,Rep. Randy Neugebauer,Republican,U.S. Conference of Catholic Bishops,abortion,executive order,health care reform bill,incest,quo on,segregated fund","Barack Obama,Consumers Union,MRSA,University of Michigan,University of Michigan School of Public Health,bacteria"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Abortion,Abortion,Wayne Christian,Wayne Christian,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','There’s actually 600 abortions done after the 20th week of pregnancy every year in Ohio.',Abortion,Abortion,Wayne Christian,Peggy Lehner,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Ohio,Ohio Department of Health,Peggy Lehner,PolitiFact,Republican,WCPN,abortion,fetus"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','90 percent of babies with Down syndrome are aborted.',Abortion,Abortion,Wayne Christian,Richard Corcoran,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Down syndrome,Florida House of Representatives,Guttmacher Institute,Hawaii,New Port Richey,New York Times,Planned Parenthood,PolitiFact,Richard Corcoran,Rick Santorum,Twitter,Wayne State University,abortion,prenatal diagnosis,prenatal testing,ultrasound"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Mitt Romney previously believed 'that abortion should be safe and legal in this country.' Now he is 'prolife.',Abortion,Abortion,Wayne Christian,John McCain,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","John McCain,Mitt Romney,PolitiFact,Republican,Shannon P. O'Brien,Ted Kennedy,U.S. Senate,abortion,prolife"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',The GOP platform that seeks further limits on abortion and is silent on an exception for rape 'has been there for more than 30 years.',Abortion,Abortion,Wayne Christian,Bob McDonnell,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","ABC,Abortion,Barack Obama,Bay Times,Bob McDonnell,Charlie Crist,Declaration of Independence,Fourteenth Amendment,George Stephanopoulos,Mitt Romney,Republican,Republican Party,Roe v. Wade,Tampa Bay Times,This Week with George Stephanopoulos,Todd Akin,U.S. Constitution,U.S. Senate,U.S. Supreme Court,abortion,abortion rights,amendment. 'I,human life amendment,our own Party,right to life"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',"In the Illinois Legislature, Barack Obama 'voted 'present,' instead of yes or no' on seven votes involving abortion rights.",Abortion,Abortion,Wayne Christian,Hillary Clinton,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Barack Obama,EMILY's List,Hillary Clinton,Hillary Clinton campaign,Illinois Senate,Illinois state Senate,John Edwards,Kate Michelman,NARAL Prochoice America,National Organization for Women,Planned Parenthood,Rosa DeLauro,Super Tuesday,a bad,abortion,abortion rights,abortion rights movement,parental notification,partial-birth abortion,political action committee,pro-choice,prochoice"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','McCain opposes a woman's right to choose.',Abortion,Abortion,Wayne Christian,MoveOn.org,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","John McCain,MoveOn,MoveOn.org,prolife"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',"Says 'Danny Tarkanian … wants to defund Planned Parenthood and would outlaw a woman's right to choose, even in cases of rape or incest.'",Abortion,Abortion,Wayne Christian,Jacky Rosen,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","2016 radio,Danny Tarkanian,Jacky Rosen,Nevada’s 3rd Congressional District,Planned Parenthood,PolitiFact,Republican,abortion,https,incest,pro-life,right to life,taking flak"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says Congressmen Paul Ryan and Todd Akin co-sponsored legislation 'to limit federal funding for abortion to victims of ‘forcible rape.’',Abortion,Abortion,Wayne Christian,John Wisniewski,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Chris Smith,John Wisniewski,Missouri,Mitt Romney,NJ.com,New Jersey Democratic Party,No Taxpayer Funding for Abortion Act,Paul Ryan,Republican,Todd Akin,U.S. Senate,abortion,incest,rape,statutory rape,the chairman,woman in danger,woman suffers"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says out-of-state abortion clinics 'have marketed their services to minors' in states with parental consent laws.,Abortion,Abortion,Wayne Christian,Rob Portman,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Cherry Hill, New Jersey,Google to,Great Wall of China,Little Rock, Arkansas,National Abortion Federation,New Jersey,OBGYN,Ohio Right to Life,Pennsylvanian,Philadelphia,PolitiFact,Republican,Scranton,Scranton Pennsylvania,Sen. Rob Portman,U.S. House of Representatives,Vicki Saporta,Washington, D.C,Wilkes-Barre,Yahoo,Yahoo search,abortion,abortion rights,but not,geo-targeting,judicial bypass,the Internet"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','As governor of Florida I defunded Planned Parenthood.',Abortion,Abortion,Wayne Christian,Jeb Bush,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Bloomberg Family Foundation,Duval County,Fox News,Jeb Bush,Medicaid,Megyn Kelly,Planned Parenthood,Planned Parenthood Federation of America,Republican,abortion,culture of life,family planning,line-item veto,sexually transmitted disease,veto"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',"'Following the 2009 session,' Texas House Speaker Joe Straus 'was acknowledged and ‘thanked’ for his ‘tireless efforts’ by Planned Parenthood, the nation’s premier abortion provider.'",Abortion,Abortion,Wayne Christian,Heidi Group,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","American Life League,Guttmacher Institute,Joe Straus,Leticia Van de Putte,Planned Parenthood,Planned Parenthood Federation of America,Republican,San Antonio,Texas House Speaker,abortion,birth control,cervical cancer,contraception,family planning,health care provider,pro-life,reproductive health,sexually transmitted diseases,sexually transmitted infections,unintended pregnancies"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says Donald Trump has 'changed his mind' on abortion.,Abortion,Abortion,Wayne Christian,Carly Fiorina,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","America We Deserve,Bloomberg News,Carly Fiorina,Christian Broadcasting Network,Donald Trump,Hewlett-Packard,Mark Halperin,Meet the Press,NBC,National Journal,Political Action Committee,Republican,Tim Russert,Washington Post,abortion,incest,pro-choice,pro-life,very honorable guy"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says Mitt Romney has flip-flopped on abortion rights.,Abortion,Abortion,Wayne Christian,Rick Perry,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Chris Wallace,Edward Kennedy,Fox News Sunday,Hyde Amendment,Mitt Romney,National Review,Planned Parenthood,PolitiFact,Republican,Rick Perry,Roe v. Wade,Susan B. Anthony List,Texas,abortion,fetus,flip-flop,incest,pro-life"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says abortions are decreasing.,Abortion,Abortion,Wayne Christian,Donna Howard,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Centers for Disease Control and Prevention,Donna Howard,Guttmacher Institute,New York City,Planned Parenthood,Texas Department of State Health Services,Texas Tribune,U.S. Supreme Court,abortion in the United States"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',Says there have been 50 million abortions since Roe v. Wade was decided.,Abortion,Abortion,Wayne Christian,Rick Perry,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Centers for Disease Control and Prevention,Guttmacher Institute,Louisiana,NARAL,National Right to Life Committee,New Hampshire,Planned Parenthood,PolitiFact,Pro-Choice,Rick Perry,Roe v. Wade,U.S. Supreme Court,abortion,abortion rights,fetal viability,fetus,incest,states' rights"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','There have been zero reported instances of any child born alive after an abortion in Texas.',Abortion,Abortion,Wayne Christian,Donna Howard,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","American College of Obstetricians and Gynecologists,Centers for Disease Control and Prevention,Donna Howard,PolitiFact,Texas Health and Human Services Commission,Texas Senate,abortion,congenital anomalies,doctor who,fetus,gestational age,umbilical cord"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','We've seen more anti-women's choice bills introduced in the first half of this session than we've seen in the last three General Assemblies.',Abortion,Abortion,Wayne Christian,Armond Budish,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Armond Budish,Matt Huffman,PolitiFact,abortion,s more"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.','Sen. Obama has always had a 100 percent prochoice rating.',Abortion,Abortion,Wayne Christian,Barack Obama,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Barack Obama,Illinois state Senate,NARAL Prochoice America,National Organization for Women,Planned Parenthood,Planned Parenthood Action Fund,Rosa DeLauro,Super Tuesday,U.S. Senate,abortion,partial-birth abortion,prochoice"
Central Health 'is the only hospital district in Texas that spends taxpayer dollars on abortions.',The House of Representatives does not have a prochoice majority.,Abortion,Abortion,Wayne Christian,Loretta Sanchez,"Austin American-Statesman,Harris County Hospital District,Hyde Amendment,JPS Health Network,Medicaid,National Abortion Federation,Parkland Health and Hospital System,Republican,Tarrant County,Texas Alliance for Life,Texas Department of Health and Human Services,Texas Department of State Health Services,Travis County,Vicki Saporta,Wayne Christian,abortion,incest,poverty line","Bart Stupak,Democrat,Getting back,Joe.Sanchez,Loretta Sanchez,MSNBC,NARAL Pro-Choice America,National Right to Life Committee,Republicans,Stupak amendment,U.S. Supreme Court,abortion,abortion rights,prochoice"
